Poor work-life balance,Poor appreciation by company,Low salary,Poor recognition as a professional and dominance of clinicians,Improve the work-life balance,Provide enough benefits and compensate for the hours of working,To be an active researcher while being in clinical embryology
Short staff,Competitive salary,Senior embryologists,Lack of communication between clinical,Higher salaries to compensate short staff,Board meetings with whole lab,To become a senior embryologist and supervisor of IVF lab
Team building,"Culture of respect, helping each other and help make everyone on the team better",Money,Respect and awareness for their daily work,Balance work and Life,Compensation,Don’t have one
The Expectations from practice clinicians to perform unstoppable with low wedges their IVF lab,No -competitive salaries,Time to fully train newcomers,Not enough embryologist to keep up with demand,Better staffing and working hours,Competitive salaries to keep embryologists,Continue providing excellence service and eventually retire
Under staff,Career growth,Recognition,No platform to share knowledge,Adequate staff in the lab,A fixed timeline to get trained & gain experience in order to go higher up in the hierarchy,Head a IVF unit & apply latest advancements in a clinical setting to hep smoothen the path of parenthood.
insufficient time for research,salary increment,getting accreditation,platform for sharing,staggered cases evenly throughout the whole week,"computerised, reduce paperwork",To carry out more clinical research  Improve clinical outcome by detailed analysis
Workload,Organization,Burnout,Stress,Working less hours,"Hire as many Senior embryologists as necessary, according to workload","At this point, to somehow work remotely"
Long leave for vacation,Weekly off,Leave issues,Eye problem,Planned leave emergency leave to be given,Comfortable work environment,"To keep updated, learn and improve all time"
Overworked,Low salary,Overworked,Low Salary,"Work life balance, more rest days ",Better salary,To be better at my professional and improve the clinical outcomes
Salary recognition,Under pressure working,Recognition by society,Recognition by other professionals,Established salary journey,"Longer daily breaks, shorter weeks",Fullfil patient's wishes
Training facilities available,Lack of training available for new procedures,Job availability,Competition between Mtechs and Clinical technologists,Increase number of embryologists hired,Increase number of clinics,Obtain Masters
Pressure,Time,Pressure,Time,N/A,N/A,N/A
Overworked,Under compensated,Funding by industry and not enough meetings,Physicians caring/respecting the embryologists,"Standardize the maximum # hrs per day/per week, etc",Standardize the workload for an embryologist,Eventually mentor/teach new embryologists and be a lab consultant.
Stress due to high workload,Physical challenges from long periods at microscope,Lack of embryologists,High burn out,Better working environment in lab,Improved communication between departments including embryology,Supervisor
Recognition of the role of embryologists,Career advancement,Regulation,Standardization,Regulation of practice,Standardization,Contribute to the advancement of new technologies to improve ART outcomes through clinical research
Perform icsi,Senior embryologist donot give chance to junior embryologist to grow their career in this field,Time management,Team work,Give chance to junior,Guide them to improve in this field,To be a fine embryologist
working highly concentrated in stressful conditions,having a steady Hand ;D,being able to be empathic,good communication skills to the patient,strictly dividing embryologists in two groups: hands-on work and telephone  duty,"better training of ""old"" embryologists",leading a laboratory and publishing papers
